"ID","imdbID","Title","Year","Rating","Runtime","Genre","Released","Director","Writer","Cast","Metacritic","imdbRating","imdbVotes","Language","Country","Awards","lastUpdated","Oscars"
4972,"tt0004972","The Birth of a Nation",1915,"Not Rated",165,"Drama, History, Romance","1915-03-03","D.W. Griffith","Thomas F. Dixon Jr. (adapted from his novel: ""The Clansman: An Historical Romance of the Ku Klux Klan""), Thomas F. Dixon Jr. (play), Thomas F. Dixon Jr. (novel), D.W. Griffith, Frank E. Woods","Lillian Gish, Mae Marsh, Henry B. Walthall, Miriam Cooper",NA,6.9,13793,NA,"USA","1 win.","2014-03-31 02:13:23.440000000",0
6206,"tt0006206","Les vampires",1915,"Not Rated",399,"Action, Adventure, Crime","1915-11-13","Louis Feuillade","Louis Feuillade","Musidora, Édouard Mathé, Marcel Lévesque, Jean Aymé",NA,6.6,2502,"French","France","1 nomination.","2014-03-07 00:05:37.133000000",0
6864,"tt0006864","Intolerance: Love's Struggle Throughout the Ages",1916,"Not Rated",197,"Drama, History","1916-09-05","D.W. Griffith","D.W. Griffith (scenario), Anita Loos (titles)","Lillian Gish, Spottiswoode Aitken, Mary Alden, Frank Bennett",NA,8,8673,NA,"USA","1 win.","2014-03-27 01:05:04.920000000",0
9470,"tt0009470","Over the Top",1918,NA,0,"Drama, War","1918-03-31","Wilfrid North","Robert Gordon Anderson (scenario), Arthur Guy Empey (book)","Arthur Guy Empey, Lois Meredith, James Morrison, Arthur Donaldson",NA,NA,NA,NA,"USA",NA,"2014-01-31 00:00:00",0
9968,"tt0009968","Broken Blossoms or The Yellow Man and the Girl",1919,"Not Rated",90,"Drama, Romance","1919-10-20","D.W. Griffith","Thomas Burke (adapted from a story by), D.W. Griffith","Lillian Gish, Richard Barthelmess, Donald Crisp, Arthur Howard",NA,7.7,5821,NA,"USA","1 win.","2014-03-24 01:47:25.100000000",0
10323,"tt0010323","The Cabinet of Dr. Caligari",1920,"Unrated",67,"Horror","1921-03-19","Robert Wiene","Carl Mayer (story), Hans Janowitz (story)","Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover",NA,8.1,28432,NA,"Germany",NA,"2014-03-02 02:01:58.027000000",0
11130,"tt0011130","Dr. Jekyll and Mr. Hyde",1920,"Unrated",49,"Drama, Horror, Sci-Fi","1920-04-01","John S. Robertson","Robert Louis Stevenson (by), Clara Beranger (scenario)","John Barrymore, Brandon Hurst, Martha Mansfield, Charles Lane",NA,7.1,2652,"English","USA",NA,"2014-03-01 05:02:53.867000000",0
11841,"tt0011841","Way Down East",1920,"Not Rated",145,"Drama, Romance","1920-09-03","D.W. Griffith","Lottie Blair Parker (from the play by), William A. Brady (play), Joseph R. Grismer (elaborated by), Anthony Paul Kelly (scenario)","Lillian Gish, Richard Barthelmess, Mrs. David Landau, Lowell Sherman",NA,8.1,3126,NA,"USA",NA,"2014-03-20 00:13:52.237000000",0
12349,"tt0012349","The Kid",1921,"Not Rated",68,"Comedy, Drama, Family","1921-02-06","Charles Chaplin","Charles Chaplin","Carl Miller, Edna Purviance, Jackie Coogan, Charles Chaplin",NA,8.4,40584,"English","USA","1 win.","2014-03-27 00:07:09.720000000",0
12532,"tt0012532","Orphans of the Storm",1921,"Not Rated",150,"Drama",NA,"D.W. Griffith","Adolphe d'Ennery (novel), Eugène Cormon (novel), D.W. Griffith","Lillian Gish, Dorothy Gish, Joseph Schildkraut, Frank Losee",NA,8.1,3118,"English","USA",NA,"2014-03-18 01:09:07.587000000",0
12920,"tt0012920","Barb Wire",1922,NA,0,"Western","1922-06-01","Francis J. Grandon","William Berke, Marin Sais","Jack Hoxie, Jean Porter, Olah Norman, William Berke",NA,5.6,9,"English","USA",NA,"2014-03-18 00:40:46.630000000",0
12938,"tt0012938","Beyond the Rocks",1922,"TV-PG",80,"Drama","1922-05-07","Sam Wood","Elinor Glyn (based on the novel by), Jack Cunningham (scenario)","Rudolph Valentino, Gloria Swanson, Edythe Chapman, Alec B. Francis",NA,7.9,1803,NA,"USA",NA,"2014-03-02 02:09:59.640000000",0
13086,"tt0013086","Dr. Mabuse: The Gambler",1922,"Not Rated",242,"Crime, Mystery, Thriller","1922-05-26","Fritz Lang","Norbert Jacques (novel), Fritz Lang, Thea von Harbou","Rudolf Klein-Rogge, Aud Egede-Nissen, Gertrude Welcker, Alfred Abel",NA,7.8,3990,"German","Germany",NA,"2014-03-21 00:51:58.910000000",0
13257,"tt0013257","Häxan: Witchcraft Through the Ages",1922,"Not Rated",91,"Horror","1929-05-27","Benjamin Christensen","Benjamin Christensen","Maren Pedersen, Clara Pontoppidan, Elith Pio, Oscar Stribolt",NA,7.7,5899,"Swedish, Danish","Sweden",NA,"2014-03-26 00:57:21.827000000",0
13427,"tt0013427","Nanook of the North",1922,"Not Rated",79,"Documentary","1922-06-11","Robert J. Flaherty",NA,"Allakariallak, Nyla, Allee, Cunayou",NA,7.8,5808,NA,"USA, France","1 win.","2014-03-20 01:12:16.460000000",0
13442,"tt0013442","Nosferatu",1922,"Unrated",81,"Horror","1929-06-03","F.W. Murnau","Henrik Galeen (screen play)","Max Schreck, Gustav von Wangenheim, Greta Schröder, Georg H. Schnell",NA,8,55862,"German","Germany","1 nomination.","2014-04-03 00:57:12.103000000",0
14142,"tt0014142","The Hunchback of Notre Dame",1923,"Unrated",133,"Drama, Romance","1923-09-06","Wallace Worsley","Victor Hugo (implied by title card), Perley Poore Sheehan (adaptation), Edward T. Lowe Jr. (scenario)","Lon Chaney, Patsy Ruth Miller, Norman Kerry, Kate Lester",NA,7.4,2806,NA,"USA","1 win.","2014-03-16 00:30:27.723000000",0
